baseline_name,candidate_name,model_column,metric,baseline_value,candidate_value,difference,ci_low,ci_high,p_two_sided_bootstrap,confidence,n_bootstraps,n_matched,modality
logistic_regression,dummy_most_frequent,model_name,auroc,0.7623391284714381,0.5,-0.26233912847143814,-0.29749146363971946,-0.22605803336825725,0.0,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,auprc,0.5755500072559496,0.3238993710691824,-0.25165063618676725,-0.31583666985805664,-0.19625009552057332,0.0,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,brier,0.1856708912426489,0.2189931230586287,0.03332223181597979,0.02573970553376329,0.04125208229782032,0.0,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,ece,0.06540092444058457,0.002134143495228724,-0.06326678094535584,-0.09030480951843582,-0.024444672178417497,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,auroc,0.7623391284714381,0.47945360126439385,-0.2828855272070443,-0.33424710720708084,-0.2290519954135784,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,auprc,0.5755500072559496,0.3156724058308153,-0.25987760142513433,-0.32515430572351095,-0.20089906784783793,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,brier,0.1856708912426489,0.2190891214414371,0.0334182301987882,0.025807238279810886,0.04130121311514114,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,ece,0.06540092444058457,0.002057170176491041,-0.06334375426409353,-0.09046780610428197,-0.024340837377803782,0.0,0.95,1000,636,breath
logistic_regression,random_forest,model_name,auroc,0.7623391284714381,0.7970365771054415,0.03469744863400337,0.0010136307415410887,0.0673852332667932,0.05,0.95,1000,636,breath
logistic_regression,random_forest,model_name,auprc,0.5755500072559496,0.674904822278262,0.09935481502231236,0.030121437718434285,0.16487402404543797,0.004,0.95,1000,636,breath
logistic_regression,random_forest,model_name,brier,0.1856708912426489,0.1709434944237457,-0.014727396818903199,-0.02244046141879538,-0.006765691951080697,0.0,0.95,1000,636,breath
logistic_regression,random_forest,model_name,ece,0.06540092444058457,0.08791028664162757,0.022509362201043007,-0.011925459298814738,0.04834839472877277,0.226,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,auroc,0.7963422894558592,0.5,-0.29634228945585916,-0.335590926379553,-0.2556788416962452,0.0,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,auprc,0.6715989816286063,0.3238993710691824,-0.34769961055942394,-0.4117886846180637,-0.28990580689928974,0.0,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,brier,0.17116909457770954,0.2189931230586287,0.047824028480919156,0.037570069517426204,0.058473373741582665,0.0,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,ece,0.10017300788728518,0.002134143495228724,-0.09803886439205646,-0.12243310773726587,-0.04660619623318088,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,auroc,0.7963422894558592,0.47945360126439385,-0.3168886881914653,-0.37135466396151856,-0.2636192275616978,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,auprc,0.6715989816286063,0.3156724058308153,-0.355926575797791,-0.42238140626768844,-0.29763048101134415,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,brier,0.17116909457770954,0.2190891214414371,0.047920026863727566,0.037727967485120806,0.05859533139319859,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,ece,0.10017300788728518,0.002057170176491041,-0.09811583771079414,-0.12253454909851537,-0.046689710491583526,0.0,0.95,1000,636,cough
logistic_regression,random_forest,model_name,auroc,0.7963422894558592,0.8043576428087604,0.008015353352901267,-0.02545556391983781,0.04238282980876705,0.652,0.95,1000,636,cough
logistic_regression,random_forest,model_name,auprc,0.6715989816286063,0.7169128559943263,0.045313874365719986,-0.013584911631208016,0.09875646295984461,0.146,0.95,1000,636,cough
logistic_regression,random_forest,model_name,brier,0.17116909457770954,0.16837327780133804,-0.0027958167763715014,-0.011102628330300776,0.005096338418799415,0.518,0.95,1000,636,cough
logistic_regression,random_forest,model_name,ece,0.10017300788728518,0.08985970286455827,-0.010313305022726912,-0.03681479861040486,0.02608022896834079,0.82,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,auroc,0.7479620681869497,0.5,-0.24796206818694966,-0.27138227461738457,-0.22407736983018192,0.0,0.95,1000,1590,speech
logistic_regression,dummy_most_frequent,model_name,auprc,0.6020342762851154,0.3238993710691824,-0.27813490521593304,-0.31503120779566235,-0.24291878538224088,0.0,0.95,1000,1590,speech
logistic_regression,dummy_most_frequent,model_name,brier,0.18380297909269158,0.21899312305862875,0.03519014396593717,0.02841925093847286,0.04187359019605214,0.0,0.95,1000,1590,speech
logistic_regression,dummy_most_frequent,model_name,ece,0.05157763580299868,0.0021341434952286686,-0.04944349230777001,-0.0667466789139635,-0.01898089844253463,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,auroc,0.7479620681869497,0.5145947166403251,-0.23336735154662458,-0.2670570824531224,-0.199027493986529,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,auprc,0.6020342762851154,0.3306832753251511,-0.2713510009599643,-0.309531221931419,-0.23453608676629048,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,brier,0.18380297909269158,0.21887695148289835,0.035073972390206765,0.02827408126116807,0.04172421089845002,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,ece,0.05157763580299868,0.0020360550710732395,-0.04954158073192544,-0.06665651183108887,-0.019186893137914864,0.0,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,auroc,0.7479620681869497,0.7564732445247234,0.008511176337773763,-0.01490296882566896,0.03335542010922883,0.466,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,auprc,0.6020342762851154,0.6171794922297267,0.015145215944611268,-0.024956844026492574,0.056117022903115425,0.468,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,brier,0.18380297909269158,0.17872830053291638,-0.0050746785597751976,-0.011491678273991593,0.0012076653180045453,0.088,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,ece,0.05157763580299868,0.047889846611074954,-0.003687789191923724,-0.02428514988267298,0.017159586591689303,0.756,0.95,1000,1590,speech
