audit_model,split,feature,feature_group,coefficient,mean_shap,mean_abs_shap,max_abs_shap,positive_label_share,direction_by_mean_shap,rank
demographic_protocol_only,test,recording_year,recording_protocol,2.6478779271474098,-0.02469894452912618,2.281779261461598,5.341663639313274,0.39937106918238996,negative_label,1
demographic_protocol_only,test,recording_month,recording_protocol,1.3996617193132173,0.11099185314592878,1.1044501764923762,3.9152695952670635,0.3742138364779874,positive_label,2
demographic_protocol_only,test,country_India,demographic,0.6347018150223923,0.01669970901979342,0.34821759870494673,2.0273594023053607,0.9182389937106918,positive_label,3
demographic_protocol_only,test,age,demographic,0.24772355145800498,0.003767361993742873,0.1981417004919078,1.146681075853141,0.37735849056603776,positive_label,4
demographic_protocol_only,test,duration_sec,recording_protocol,-0.2538044024832229,0.0048797122997160675,0.1797970690518314,0.7636966839235707,0.5814116002795248,positive_label,5
demographic_protocol_only,test,country_China,demographic,-0.4293946322867883,-0.0036352984119625755,0.04821995771052979,8.244985723476287,0.9968553459119497,negative_label,6
demographic_protocol_only,test,country_United Kingdom,demographic,-0.6164865243986141,0.042515910807191686,0.042515910807191686,0.04251591080719168,1.0,positive_label,7
demographic_protocol_only,test,country_France,demographic,0.3446137158810055,-0.017221186070104887,0.04225743412888281,3.980763441345689,0.0031446540880503146,negative_label,8
demographic_protocol_only,test,quality_flag_corrupt,recording_protocol,-0.21268813447470727,0.012423453669591269,0.03995987063388874,1.7132440293873776,0.9919636617749825,positive_label,9
demographic_protocol_only,test,quality_flag_mostly_silence,recording_protocol,0.11009456025391577,0.005057280308887278,0.03792977532816743,0.7152846118212242,0.03004891684136967,positive_label,10
demographic_protocol_only,test,gender_female,demographic,-0.026109672202782146,-0.0005446057304789958,0.024049036758668773,0.04031329026571646,0.6949685534591195,negative_label,11
demographic_protocol_only,test,country_Malaysia,demographic,-0.190673119326083,-0.009298285033012263,0.023288005375363737,5.181220174931783,0.9968553459119497,negative_label,12
demographic_protocol_only,test,country_Canada,demographic,-0.1466866824015847,-0.000383241397346388,0.02319590838915623,1.8745424080269584,0.9937106918238994,negative_label,13
demographic_protocol_only,test,gender_other,demographic,0.12834119602192648,0.012186625960985036,0.018842784449869924,4.933676255325939,0.0031446540880503146,positive_label,14
demographic_protocol_only,test,gender_male,demographic,0.018785115165317254,-0.0004931270082551179,0.01735467598271286,0.02895714975065213,0.6918238993710691,negative_label,15
demographic_protocol_only,test,country_Vietnam,demographic,-0.3028827862117251,0.013656038604744809,0.013656038604744809,0.013656038604744809,1.0,positive_label,16
demographic_protocol_only,test,country_Bahrain,demographic,0.2951124633417708,-0.013305699021533066,0.013305699021533066,0.013305699021533066,0.0,negative_label,17
demographic_protocol_only,test,sample_rate_original,recording_protocol,0.07082555935803801,0.0023564201161376296,0.013233759248778483,0.4045724814163368,0.9353598881900769,positive_label,18
demographic_protocol_only,test,country_Australia,demographic,-0.2890917158827775,0.013034242327814072,0.013034242327814072,0.01303424232781407,1.0,positive_label,19
demographic_protocol_only,test,country_United States,demographic,-0.03775889574411011,0.0012800310041675702,0.012588658301213482,0.19978574891447776,0.9716981132075472,positive_label,20
demographic_protocol_only,test,country_Bangladesh,demographic,-0.30109249124748183,0.011080448730896586,0.011080448730896586,0.01108044873089659,1.0,positive_label,21
demographic_protocol_only,test,country_Portugal,demographic,-0.2885982361369554,0.01062064997401182,0.01062064997401182,0.010620649974011818,1.0,positive_label,22
demographic_protocol_only,test,quality_flag_ok,recording_protocol,0.02418575106194127,-0.0003523276507982221,0.010544721834767604,0.10904669799891395,0.9500349406009784,negative_label,23
demographic_protocol_only,test,country_Japan,demographic,-0.232413574239086,0.010478801987304278,0.010478801987304278,0.01047880198730428,1.0,positive_label,24
demographic_protocol_only,test,quality_flag_short,recording_protocol,0.04706390555907561,0.0016925882313764753,0.010337796569435143,0.5063376661753359,0.011879804332634521,positive_label,25
demographic_protocol_only,test,country_Saudi Arabia,demographic,-0.08316667619872188,-0.004055671104962973,0.010157624783254018,2.2599140462265015,0.9968553459119497,negative_label,26
demographic_protocol_only,test,country_Netherlands The,demographic,-0.0841413806067667,-0.002086828884376102,0.009650313288938894,1.8662056055570844,0.9968553459119497,negative_label,27
demographic_protocol_only,test,country_Israel,demographic,-0.21538162145182013,0.007926218964101216,0.007926218964101216,0.007926218964101216,1.0,positive_label,28
demographic_protocol_only,test,country_Singapore,demographic,-0.16552588893061804,0.007463045218228769,0.007463045218228769,0.007463045218228768,1.0,positive_label,29
demographic_protocol_only,test,country_Greece,demographic,-0.19702623471708497,0.007250725793191022,0.007250725793191022,0.007250725793191019,1.0,positive_label,30
demographic_protocol_only,test,country_Finland,demographic,-0.04612284869442598,-0.004379590674829359,0.006771659631522795,1.7730487987099928,0.9968553459119497,negative_label,31
demographic_protocol_only,test,country_Oman,demographic,-0.04465123300802477,-0.004239853548447696,0.00655560011180967,1.7164771319809213,0.9968553459119497,negative_label,32
demographic_protocol_only,test,country_Germany,demographic,-0.09349646604209083,0.005445831455362309,0.005445831455362309,0.00544583145536231,1.0,positive_label,33
demographic_protocol_only,test,country_Thailand,demographic,-0.19725398294135332,0.005131226854103644,0.005131226854103644,0.005131226854103644,1.0,positive_label,34
demographic_protocol_only,test,country_South Africa,demographic,-0.18427801964829657,0.004793679240035987,0.004793679240035987,0.004793679240035988,1.0,positive_label,35
demographic_protocol_only,test,country_Egypt,demographic,-0.16510436628908315,0.004294909260636781,0.004294909260636781,0.00429490926063678,1.0,positive_label,36
demographic_protocol_only,test,country_Spain,demographic,-0.1639515048488218,0.004264919531186863,0.004264919531186863,0.004264919531186863,1.0,positive_label,37
demographic_protocol_only,test,country_Turkey,demographic,-0.14969464814751937,0.0038940516537935817,0.0038940516537935817,0.003894051653793581,1.0,positive_label,38
demographic_protocol_only,test,country_Romania,demographic,-0.1259142920421039,0.0032754461380583946,0.0032754461380583946,0.0032754461380583946,1.0,positive_label,39
demographic_protocol_only,test,country_Iraq,demographic,-0.12286212334832106,0.0031960491609669393,0.0031960491609669393,0.0031960491609669397,1.0,positive_label,40
demographic_protocol_only,test,country_Syria,demographic,-0.10416230140556888,0.0027096050999203506,0.0027096050999203506,0.0027096050999203506,1.0,positive_label,41
demographic_protocol_only,test,country_Switzerland,demographic,-0.06525542566182338,0.002401452774404632,0.002401452774404632,0.002401452774404632,1.0,positive_label,42
demographic_protocol_only,test,country_Qatar,demographic,-0.06287587068954924,0.0016356088295225262,0.0016356088295225262,0.0016356088295225262,1.0,positive_label,43
demographic_protocol_only,test,country_Iran,demographic,-0.045657087203969694,0.0011876914648198272,0.0011876914648198272,0.0011876914648198272,1.0,positive_label,44
demographic_protocol_only,test,country_Argentina,demographic,-0.04528828918641537,0.0011780978116869647,0.0011780978116869647,0.0011780978116869647,1.0,positive_label,45
