feature,before_smd,after_smd,before_abs_smd,after_abs_smd,weight_config,control_method,weight_cap,clip_quantile,smd_reduction,balance_severity,rank_after_weighting
recording_year,1.3838362555266592,0.7239642996725939,1.3838362555266592,0.7239642996725939,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.6598719558540653,severe_residual_imbalance,1
country_India,0.5245305283129619,0.4380776248260651,0.5245305283129619,0.4380776248260651,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.08645290348689677,moderate_residual_imbalance,2
country_United States,-0.295598783449288,-0.2503879398239333,0.295598783449288,0.2503879398239333,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.04521084362535471,moderate_residual_imbalance,3
gender_female,0.4209212450791537,0.2360720620859797,0.4209212450791537,0.2360720620859797,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.184849182993174,minor_residual_imbalance,4
recording_month,0.2440365579981978,0.2354847149223895,0.2440365579981978,0.2354847149223895,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.00855184307580828,minor_residual_imbalance,5
gender_male,-0.4097492060027382,-0.2284004822354187,0.4097492060027382,0.2284004822354187,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.18134872376731948,minor_residual_imbalance,6
age,0.3857692454848073,0.2247429051291014,0.3857692454848073,0.2247429051291014,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.1610263403557059,minor_residual_imbalance,7
quality_flag_mostly_silence,0.3728611228882024,0.2216917231518964,0.3728611228882024,0.2216917231518964,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.151169399736306,minor_residual_imbalance,8
duration_sec,-0.3684530392807802,-0.1996278711455216,0.3684530392807802,0.1996278711455216,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.1688251681352586,minor_residual_imbalance,9
quality_flag_ok,-0.3158364832913406,-0.1665331621055462,0.3158364832913406,0.1665331621055462,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.14930332118579442,minor_residual_imbalance,10
sample_rate_original_44100.0,-0.3266364398609898,-0.1246488865915665,0.3266364398609898,0.1246488865915665,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.20198755326942328,minor_residual_imbalance,11
sample_rate_original_16000.0,0.1400280084028009,0.1173970469725013,0.1400280084028009,0.1173970469725013,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.022630961430299606,minor_residual_imbalance,12
sample_rate_original_48000.0,0.2938833503005207,0.1168856295555675,0.2938833503005207,0.1168856295555675,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.1769977207449532,minor_residual_imbalance,13
country_Canada,-0.1370377419655063,-0.1164436065619657,0.1370377419655063,0.1164436065619657,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.020594135403540603,minor_residual_imbalance,14
sample_rate_original_unknown,-0.1370377419655063,-0.1162349217782332,0.1370377419655063,0.1162349217782332,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.0208028201872731,minor_residual_imbalance,15
country_Pakistan,-0.0966736489045663,-0.0826547866064693,0.0966736489045663,0.0826547866064693,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014018862298096998,well_balanced,16
country_France,-0.0966736489045663,-0.0823236512280665,0.0966736489045663,0.0823236512280665,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014349997676499804,well_balanced,17
gender_other,-0.0966736489045663,-0.0823236512280665,0.0966736489045663,0.0823236512280665,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014349997676499804,well_balanced,18
country_Hungary,-0.0966736489045663,-0.0822415278875689,0.0966736489045663,0.0822415278875689,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014432121016997396,well_balanced,19
country_Mexico,-0.0966736489045663,-0.0821808587400947,0.0966736489045663,0.0821808587400947,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014492790164471595,well_balanced,20
country_Malaysia,-0.0966736489045663,-0.0821053419811863,0.0966736489045663,0.0821053419811863,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.01456830692338,well_balanced,21
country_Indonesia,-0.0966736489045663,-0.0820520471058441,0.0966736489045663,0.0820520471058441,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722197,well_balanced,22
country_Oman,-0.0966736489045663,-0.0820520471058441,0.0966736489045663,0.0820520471058441,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722197,well_balanced,23
country_China,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,24
country_Finland,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,25
country_Ireland,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,26
country_Italy,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,27
country_Netherlands The,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,28
country_Norway,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,29
country_Philippines,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,30
country_Saudi Arabia,-0.0966736489045663,-0.082052047105844,0.0966736489045663,0.082052047105844,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.014621601798722295,well_balanced,31
quality_flag_short,-0.0826648605258637,-0.0611458170764348,0.0826648605258637,0.0611458170764348,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,0.021519043449428905,well_balanced,32
quality_flag_corrupt,0.0059520076852795,-0.0284118718083544,0.0059520076852795,0.0284118718083544,ipw_cap_2_q_0.95,ipw_label_propensity,2.0,0.95,-0.0224598641230749,well_balanced,33
