auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,subgroup,source_column,level,n_participants,audit_model,model_name,feature_strategy,split
0.9117547454476616,0.7734046445237941,0.820633779101956,0.7603227337446606,0.8640776699029126,0.7771898883009994,0.1250457502128043,0.11673113543385333,0.4011809705792432,0.4438560962703411,2628.0,country,country,India,292,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.9640315646548416,0.9416809361125466,0.8888261045758349,0.8557588805166846,0.8576051779935275,0.9200470311581422,0.07853940263059637,0.06339383355402191,0.25136192859740436,0.5710383807240185,2628.0,country,country,India,292,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.9311655622335234,0.9033304312083001,0.9095649047105359,0.8803827751196173,0.8932038834951457,0.9259259259259259,0.0770638918168942,0.08864948291797844,0.28428533057213556,0.3009890422692231,2628.0,country,country,India,292,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.94274302313518,0.5480861640605306,0.6576719576719576,0.41846153846153844,0.35978835978835977,0.9555555555555556,0.06785467873794016,0.08423304222360094,0.21705193891178914,0.4438560962703411,1719.0,recording_year,recording_year,2020,191,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.969429747207525,0.7908876574919848,0.6954715219421101,0.5494505494505495,0.3968253968253968,0.9941176470588236,0.04794530279259466,0.05193739646887768,0.15893578730611976,0.5710383807240185,1719.0,recording_year,recording_year,2020,191,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.8609243697478991,0.6555605577484882,0.8544817927170868,0.6956521739130435,0.7619047619047619,0.9470588235294117,0.06546160126346694,0.13343360587597927,0.26345369178345907,0.3009890422692231,1719.0,recording_year,recording_year,2020,191,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.8076867717390592,0.7547778543143082,0.5951539775069187,0.7701441899915182,0.9891067538126361,0.2012012012012012,0.21556718543964923,0.19649102777705696,0.775537950421167,0.4438560962703411,792.0,recording_year,recording_year,2021,88,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.9440159113361728,0.9524913361504225,0.8617735382441265,0.9009193054136875,0.9607843137254902,0.7627627627627628,0.1184417187132085,0.14600046471825323,0.3992288462386666,0.5710383807240185,792.0,recording_year,recording_year,2021,88,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.9446210916799151,0.9557976568897036,0.9067302596714362,0.9215686274509803,0.9215686274509803,0.8918918918918919,0.08297676702808804,0.06073263075487882,0.27228938027067323,0.3009890422692231,792.0,recording_year,recording_year,2021,88,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.3739545997610514,0.7783443084200758,0.5,0.8857142857142857,1.0,0.0,0.17764106496051213,0.1729642492028456,0.6333780331287516,0.4438560962703411,351.0,recording_year,recording_year,2022,39,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.9167164476304261,0.9766376519035973,0.5625,0.8985507246376812,1.0,0.125,0.12277245722474149,0.13915246007365517,0.4152462608970336,0.5710383807240185,351.0,recording_year,recording_year,2022,39,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.8870967741935484,0.9648633105796979,0.842741935483871,0.9354838709677419,0.9354838709677419,0.75,0.10359247150670375,0.08809049725694687,0.38278562519543013,0.3009890422692231,351.0,recording_year,recording_year,2022,39,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.7614197530864197,0.8740637049045608,0.875,0.975609756097561,1.0,0.75,0.047479261516328135,0.0482711466564729,0.22259872939585382,0.4438560962703411,216.0,recording_month,recording_month,1,24,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
1.0,0.9999999999999998,0.875,0.975609756097561,1.0,0.75,0.03314176831725497,0.06607428788940711,0.10245417815213466,0.5710383807240185,216.0,recording_month,recording_month,1,24,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
1.0,1.0,1.0,1.0,1.0,1.0,0.015219660919130755,0.0558356477875946,0.06673791445907667,0.3009890422692231,216.0,recording_month,recording_month,1,24,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.6131687242798354,0.182024032462629,0.6203703703703703,0.3076923076923077,0.8888888888888888,0.35185185185185186,0.3043175572963512,0.37249520781859047,0.9914450884696301,0.4438560962703411,63.0,recording_month,recording_month,10,7,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.8312757201646089,0.3309361991637534,0.5833333333333334,0.2857142857142857,0.3333333333333333,0.8333333333333334,0.16764349176772994,0.30055344049555144,0.5080579760733476,0.5710383807240185,63.0,recording_month,recording_month,10,7,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
1.0,1.0,1.0,1.0,1.0,1.0,0.05945851779319791,0.2055378402370383,0.24822012396708015,0.3009890422692231,63.0,recording_month,recording_month,10,7,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.5635802469135802,0.5788336392850346,0.5,0.6153846153846154,1.0,0.0,0.42592783543947055,0.41875577923674834,1.3982593887204262,0.4438560962703411,81.0,recording_month,recording_month,12,9,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.6925925925925926,0.7458261576006923,0.5666666666666667,0.5714285714285714,0.6666666666666666,0.4666666666666667,0.296664407969443,0.2950070784446126,0.8214827187590215,0.5710383807240185,81.0,recording_month,recording_month,12,9,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.9500000000000001,0.95,0.9,0.8888888888888888,1.0,0.8,0.09125123003036491,0.23126891185683046,0.3023823378185294,0.3009890422692231,81.0,recording_month,recording_month,12,9,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.766273849607183,0.8282470084471055,0.5625,0.7586206896551724,1.0,0.125,0.307265665088191,0.30872268555634436,1.035108150258028,0.4438560962703411,171.0,recording_month,recording_month,2,19,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.8901515151515152,0.9229236924273183,0.625,0.7857142857142857,1.0,0.25,0.2206214789624358,0.25341144402273613,0.7553930920075916,0.5710383807240185,171.0,recording_month,recording_month,2,19,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.8068181818181819,0.8555451990858689,0.7840909090909092,0.8181818181818182,0.8181818181818182,0.75,0.1982748584420258,0.16565074693558252,0.7361220288287517,0.3009890422692231,171.0,recording_month,recording_month,2,19,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.34156378600823045,0.22452074257348092,0.35185185185185186,0.2702702702702703,0.5555555555555556,0.14814814814814814,0.25157758047329903,0.22389255992940427,0.6934181914254546,0.4438560962703411,36.0,recording_month,recording_month,3,4,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
1.0,1.0000000000000002,0.8518518518518519,0.6923076923076923,1.0,0.7037037037037037,0.1824012558204951,0.3065579418691181,0.5409600558878623,0.5710383807240185,36.0,recording_month,recording_month,3,4,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
1.0,1.0,0.8333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.20283539235791562,0.29469208020360993,0.6017608985885743,0.3009890422692231,36.0,recording_month,recording_month,3,4,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.9458553791887124,0.086030297590725,0.9063492063492063,0.1797752808988764,0.8888888888888888,0.9238095238095239,0.032430813286361125,0.07714457271376027,0.1140443959828962,0.4438560962703411,954.0,recording_month,recording_month,4,106,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.9493239271017049,0.09154555144596865,0.49523809523809526,0.0,0.0,0.9904761904761905,0.015632767261166754,0.040644412409615985,0.06746323917955625,0.5710383807240185,954.0,recording_month,recording_month,4,106,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.49523809523809526,0.009433962264150943,0.49523809523809526,0.0,0.0,0.9904761904761905,0.03280264530892487,0.14673678234556928,0.18807369121523654,0.3009890422692231,954.0,recording_month,recording_month,4,106,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.9791495198902607,0.45653929509764746,0.9666666666666667,0.4,1.0,0.9333333333333333,0.039344601998558756,0.09709216585201597,0.14779823304354345,0.4438560962703411,414.0,recording_month,recording_month,5,46,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
1.0,1.0,1.0,1.0,1.0,1.0,0.012407963128722638,0.0636454549211099,0.07166588541554768,0.5710383807240185,414.0,recording_month,recording_month,5,46,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.9555555555555555,0.25,0.9444444444444444,0.2857142857142857,1.0,0.8888888888888888,0.0648645069854745,0.18826505035027555,0.26585942218078373,0.3009890422692231,414.0,recording_month,recording_month,5,46,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.8469650205761317,0.8932044513705715,0.625,0.7804878048780488,1.0,0.25,0.23119671181686344,0.2143341385694933,0.6584209060593094,0.4438560962703411,252.0,recording_month,recording_month,6,28,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.9687499999999999,0.9834425063929351,0.9409722222222222,0.9473684210526315,0.9375,0.9444444444444444,0.0976950199655063,0.17846760014935034,0.2949473986320916,0.5710383807240185,252.0,recording_month,recording_month,6,28,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.8984375,0.9196428571428572,0.8645833333333333,0.8666666666666667,0.8125,0.9166666666666666,0.11063658307001248,0.05660066967384238,0.3451341382666346,0.3009890422692231,252.0,recording_month,recording_month,6,28,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.9640852974186307,0.9822594695570585,0.9217171717171717,0.9545454545454546,0.9545454545454546,0.8888888888888888,0.05621278302046928,0.09910236965588336,0.22920796870678892,0.4438560962703411,279.0,recording_month,recording_month,7,31,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.9945130315500685,0.9978376230380855,0.9340628507295174,0.9593908629441624,0.9545454545454546,0.9135802469135802,0.03443735480752508,0.08140110497628252,0.1268783923181407,0.5710383807240185,279.0,recording_month,recording_month,7,31,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.9772727272727273,0.9900950498776584,0.8888888888888888,0.9565217391304348,1.0,0.7777777777777778,0.054294914556243225,0.0895705863742959,0.18834353029601555,0.3009890422692231,279.0,recording_month,recording_month,7,31,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.43312757201646096,0.3427631236243859,0.4583333333333333,0.0,0.0,0.9166666666666666,0.30792204040245413,0.24419466512529234,0.8741716026609274,0.4438560962703411,180.0,recording_month,recording_month,8,20,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.7899948559670782,0.7251041987459125,0.6550925925925926,0.5094339622641509,0.375,0.9351851851851852,0.2178811078978682,0.18754172524585266,0.6270384781537229,0.5710383807240185,180.0,recording_month,recording_month,8,20,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.78125,0.7291666666666667,0.7708333333333333,0.7142857142857143,0.625,0.9166666666666666,0.1604353568960366,0.08173751029007262,0.4840536364797637,0.3009890422692231,180.0,recording_month,recording_month,8,20,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.7455418381344308,0.9488438578313292,0.6018518518518519,0.82,0.7592592592592593,0.4444444444444444,0.17706358212804238,0.2303726875699085,0.5149050840098477,0.4438560962703411,189.0,recording_month,recording_month,9,21,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.8550525834476452,0.9722683304404435,0.7037037037037037,0.8247422680412371,0.7407407407407407,0.6666666666666666,0.1565103573185304,0.19313818651397305,0.4424993152361996,0.5710383807240185,189.0,recording_month,recording_month,9,21,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.9166666666666667,0.980859010270775,0.7777777777777777,0.9142857142857143,0.8888888888888888,0.6666666666666666,0.14971947213646655,0.19013637544990486,0.4243972103024544,0.3009890422692231,189.0,recording_month,recording_month,9,21,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
