claim_id,claim,evidence_type,artifact,comparison,primary_metric,primary_value,secondary_metrics,n_samples,evidence_direction,paper_use
internal_quality_weighted_fusion,Quality-weighted fusion is the strongest internal audio model family in the current pipeline.,internal_audio,data/outputs/metrics/quality_weighted_fusion_metrics.csv,quality_weighted_auprc,auroc,0.8786633551591781,auprc=0.832; balanced_accuracy=0.804; sensitivity=0.767; specificity=0.842; f1=0.731; brier=0.190; ece=0.150; nll=0.564,318,supportive,"Use as the main internal performance result, with explicit non-clinical disclaimer."
external_transfer_mfcc_best,Best MFCC external transfer remains weak under Coswara-to-COUGHVID shift.,external_transfer,data/outputs/metrics/external_model_grid_metrics.csv,MFCC / logistic_regression / top_stable_50 evaluated on COUGHVID external labels,auroc,0.534794231414978,auprc=0.042; balanced_accuracy=0.532; sensitivity=0.495; specificity=0.569; f1=0.072; brier=0.115; ece=0.285; nll=0.411,8331,cautionary,Use in Results and Discussion as external-validity evidence; avoid presenting this as deployable screening performance.
external_transfer_opensmile_egemaps_best,Best OpenSMILE eGeMAPSv02 external transfer remains weak under Coswara-to-COUGHVID shift.,external_transfer,data/outputs/metrics/external_model_grid_opensmile_egemaps_metrics.csv,OpenSMILE eGeMAPSv02 / logistic_regression / drop_high_shift evaluated on COUGHVID external labels,auroc,0.551946483160424,auprc=0.039; balanced_accuracy=0.517; sensitivity=0.211; specificity=0.823; f1=0.068; brier=0.080; ece=0.180; nll=0.303,8331,cautionary,Use in Results and Discussion as external-validity evidence; avoid presenting this as deployable screening performance.
external_transfer_beats_best,Best BEATs external transfer remains weak under Coswara-to-COUGHVID shift.,external_transfer,data/outputs/metrics/external_model_grid_beats_metrics.csv,BEATs / logistic_regression / drop_high_shift evaluated on COUGHVID external labels,auroc,0.5529926606224734,auprc=0.039; balanced_accuracy=0.515; sensitivity=0.186; specificity=0.845; f1=0.067; brier=0.091; ece=0.201; nll=0.331,8331,cautionary,Use in Results and Discussion as external-validity evidence; avoid presenting this as deployable screening performance.
external_transfer_panns_best,Best PANNs CNN14 external transfer remains weak under Coswara-to-COUGHVID shift.,external_transfer,data/outputs/metrics/external_model_grid_panns_metrics.csv,PANNs CNN14 / logistic_regression / drop_high_shift evaluated on COUGHVID external labels,auroc,0.5024390456628771,auprc=0.035; balanced_accuracy=0.493; sensitivity=0.214; specificity=0.771; f1=0.056; brier=0.115; ece=0.271; nll=0.404,8331,cautionary,Use in Results and Discussion as external-validity evidence; avoid presenting this as deployable screening performance.
coughvid_internal_mfcc_best,MFCC is substantially stronger in COUGHVID internal validation than in external transfer.,internal_baseline,data/outputs/metrics/coughvid_internal_metrics.csv,MFCC / lightgbm trained and tested within COUGHVID split,auroc,0.78093058733791,auprc=0.178; balanced_accuracy=0.698; sensitivity=0.561; specificity=0.834; f1=0.180; brier=0.033; ece=0.000; nll=0.147,1667,context,"Use as domain-shift context, not as the main claim of generalization."
coughvid_internal_opensmile_egemaps_best,OpenSMILE eGeMAPSv02 is substantially stronger in COUGHVID internal validation than in external transfer.,internal_baseline,data/outputs/metrics/coughvid_internal_opensmile_egemaps_metrics.csv,OpenSMILE eGeMAPSv02 / logistic_regression trained and tested within COUGHVID split,auroc,0.7626130543750681,auprc=0.120; balanced_accuracy=0.689; sensitivity=0.561; specificity=0.817; f1=0.167; brier=0.032; ece=0.001; nll=0.136,1667,context,"Use as domain-shift context, not as the main claim of generalization."
coughvid_internal_beats_best,BEATs is substantially stronger in COUGHVID internal validation than in external transfer.,internal_baseline,data/outputs/metrics/coughvid_internal_beats_metrics.csv,BEATs / lightgbm trained and tested within COUGHVID split,auroc,0.756390977443609,auprc=0.143; balanced_accuracy=0.663; sensitivity=0.632; specificity=0.695; f1=0.123; brier=0.033; ece=0.000; nll=0.148,1667,context,"Use as domain-shift context, not as the main claim of generalization."
coughvid_internal_panns_best,PANNs CNN14 is substantially stronger in COUGHVID internal validation than in external transfer.,internal_baseline,data/outputs/metrics/coughvid_internal_panns_metrics.csv,PANNs CNN14 / random_forest trained and tested within COUGHVID split,auroc,0.6524572300316007,auprc=0.074; balanced_accuracy=0.602; sensitivity=0.561; specificity=0.642; f1=0.096; brier=0.033; ece=0.000; nll=0.149,1667,context,"Use as domain-shift context, not as the main claim of generalization."
metadata_confounding_full_safe_metadata,Non-audio metadata alone predicts COVID label for the full_safe_metadata audit.,metadata_confounding,data/outputs/metrics/metadata_confounding_metrics.csv,full_safe_metadata,auroc,0.9638209444486256,auprc=0.928; balanced_accuracy=0.890; sensitivity=0.858; specificity=0.922; f1=0.849; brier=0.077; ece=0.064; nll=0.257,2862,cautionary,Use to justify confounding analysis and conservative claims about audio-only causality.
metadata_confounding_symptoms_only,Non-audio metadata alone predicts COVID label for the symptoms_only audit.,metadata_confounding,data/outputs/metrics/metadata_confounding_metrics.csv,symptoms_only,auroc,0.93172273650937,auprc=0.898; balanced_accuracy=0.912; sensitivity=0.893; specificity=0.930; f1=0.876; brier=0.075; ece=0.096; nll=0.281,2862,cautionary,Use to justify confounding analysis and conservative claims about audio-only causality.
metadata_confounding_demographic_protocol_only,Non-audio metadata alone predicts COVID label for the demographic_protocol_only audit.,metadata_confounding,data/outputs/metrics/metadata_confounding_metrics.csv,demographic_protocol_only,auroc,0.9137823380692351,auprc=0.737; balanced_accuracy=0.827; sensitivity=0.864; specificity=0.790; f1=0.751; brier=0.122; ece=0.117; nll=0.423,2862,cautionary,Use to justify confounding analysis and conservative claims about audio-only causality.
confounding_controlled_audio_ipw,"The quality-weighted audio signal persists after inverse-propensity confounder control, but with reduced performance.",confounding_controlled_audio,data/outputs/metrics/confounding_controlled_audio_metrics.csv,quality_weighted_auprc,auroc,0.7799466278538714,auprc=0.537; balanced_accuracy=0.721; sensitivity=0.679; specificity=0.763; f1=0.450; brier=0.147; ece=0.210; nll=0.478; effective_sample_size=130.439,318,qualified_supportive,Use as the strongest defensible audio-result claim because it directly addresses measured confounding.
clinical_fusion_specificity_0_800,"At specificity>=0.800, quality-weighted fusion has a concrete operating-point tradeoff.",clinical_operating_point,reports/tables/clinical_operating_points.csv,specificity>=0.800,sensitivity,0.8058252427184466,threshold=0.337; sensitivity=0.806; specificity=0.814; precision=0.675; npv=0.897; f1=0.735; balanced_accuracy=0.810,318,operational_context,Use to discuss threshold tradeoffs; state that this is a research prototype and not a diagnostic threshold.
clinical_fusion_specificity_0_900,"At specificity>=0.900, quality-weighted fusion has a concrete operating-point tradeoff.",clinical_operating_point,reports/tables/clinical_operating_points.csv,specificity>=0.900,sensitivity,0.6990291262135923,threshold=0.356; sensitivity=0.699; specificity=0.907; precision=0.783; npv=0.863; f1=0.738; balanced_accuracy=0.803,318,operational_context,Use to discuss threshold tradeoffs; state that this is a research prototype and not a diagnostic threshold.
clinical_fusion_specificity_0_950,"At specificity>=0.950, quality-weighted fusion has a concrete operating-point tradeoff.",clinical_operating_point,reports/tables/clinical_operating_points.csv,specificity>=0.950,sensitivity,0.6116504854368932,threshold=0.374; sensitivity=0.612; specificity=0.958; precision=0.875; npv=0.837; f1=0.720; balanced_accuracy=0.785,318,operational_context,Use to discuss threshold tradeoffs; state that this is a research prototype and not a diagnostic threshold.
clinical_fusion_sensitivity_0_900,"At sensitivity>=0.900, quality-weighted fusion has a concrete operating-point tradeoff.",clinical_operating_point,reports/tables/clinical_operating_points.csv,sensitivity>=0.900,specificity,0.5906976744186047,threshold=0.313; sensitivity=0.903; specificity=0.591; precision=0.514; npv=0.927; f1=0.655; balanced_accuracy=0.747,318,operational_context,Use to discuss threshold tradeoffs; state that this is a research prototype and not a diagnostic threshold.
calibration_quality_weighted_fusion,Internal quality-weighted fusion has small global calibration gap but non-trivial bin-level calibration error.,calibration,reports/tables/calibration_under_shift_summary.csv,quality_weighted_fusion_predictions,ece,0.1503736522927272,observed_prevalence=0.324; mean_probability=0.331; calibration_gap=0.007; mce=0.527; brier=0.190; nll=0.564,318,mixed,Use in reliability/calibration discussion to avoid overclaiming calibrated clinical probabilities.
calibration_external_transfer_worst,External transfer probabilities are strongly over-confident relative to COUGHVID prevalence.,calibration_under_shift,reports/tables/calibration_under_shift_summary.csv,external_model_grid_predictions,ece,0.2863756528425152,observed_prevalence=0.034; mean_probability=0.321; calibration_gap=0.286; mce=0.464; brier=0.120; nll=0.419,8331,cautionary,Use as direct evidence that external probabilities should not be interpreted as calibrated risks.
domain_shift_beats_max,"beats features strongly separate source and external datasets, supporting a dataset-artifact explanation for transfer failure.",domain_shift,data/outputs/metrics/domain_shift_audit_metrics.csv,beats source-vs-external domain classifier,domain_auroc,0.965601302931596,domain_auprc=0.981; balanced_accuracy=0.904; f1=0.929; accuracy=0.906; brier=0.069; ece=0.043; n_features=772.000,3728,cautionary,"Use as mechanistic evidence that representation vectors encode dataset/source artifacts, not only COVID label signal."
ipw_sensitivity_cap_2,"IPW-controlled audio performance remains visible under a stricter weight cap of 2.0, with explicit effective-sample-size reporting.",ipw_sensitivity,data/outputs/metrics/ipw_sensitivity_metrics.csv,ipw_cap_2_q_0.95,auroc,0.8073596699309519,auprc=0.624; balanced_accuracy=0.742; sensitivity=0.679; specificity=0.804; f1=0.541; effective_sample_size=238.745; mean_abs_smd_after=0.149; max_abs_smd_after=0.724; max_weight=2.530,318,qualified_supportive,Use to answer reviewer concerns that the adjusted audio result depends on one arbitrary IPW truncation setting.
external_prevalence_recalibration_best,"Target-prevalence intercept correction improves external calibration, but it does not repair discrimination under dataset shift.",prevalence_recalibration,reports/tables/external_prevalence_recalibration.csv,external_model_grid_predictions,ece_reduction,0.2853675908382008,original_ece=0.286; corrected_ece=0.001; corrected_abs_calibration_gap=0.001; auroc=0.484; auprc=0.036,8331,reliability_context,Use to show that prevalence correction can reduce probability inflation while leaving ranking/generalization limits intact.
paired_bootstrap_external_best_vs_baseline,Paired bootstrap comparison quantifies whether the selected external model materially improves over the logistic all-feature baseline.,paired_bootstrap_comparison,reports/tables/paired_bootstrap_comparisons.csv,external_model_grid_predictions,auroc_difference,0.0249285904295912,ci_low=-0.024; ci_high=0.072; p_two_sided_bootstrap=0.304; n_matched=8331.000,8331,comparison_context,Use to avoid overinterpreting small model-ranking differences under paired external evaluation.
