evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,audit_model,specification_rank,n_specifications_in_protocol,auroc,auprc,balanced_accuracy,f1,n_samples,n_participants,table_source
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath+speech,validation_weighted_auprc,,,test,,1,95,0.8908544882924312,0.845578951589023,0.8359532635728028,0.7835051546391752,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath+speech,stacked_logistic_validation,,,test,,2,95,0.8907606400450471,0.8418721023082718,0.7805593355544085,0.694560669456067,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_global_stacking,top_10_global_stack,multimodal,,global_prediction_stack,top_global_validation_weighted_auroc,,,test,,3,95,0.8901037023133593,0.8391575368715871,0.8089953545117545,0.7312775330396476,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath+speech,uniform_mean,,,test,,4,95,0.8900567781896673,0.8445025198746187,0.8359532635728028,0.7835051546391752,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_global_stacking,top_10_global_stack,multimodal,,global_prediction_stack,top_global_uniform_mean,,,test,,5,95,0.8900098540659753,0.8390454385496141,0.8089953545117545,0.7312775330396476,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_global_stacking,top_10_global_stack,multimodal,,global_prediction_stack,top_global_stacked_logistic_validation,,,test,,6,95,0.8897283093238234,0.8386683485744449,0.8046783351320914,0.723404255319149,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+speech,validation_weighted_auprc,,,test,,7,95,0.8880410654827969,0.8407058375722756,0.8158065112837588,0.7364016736401674,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+speech,uniform_mean,,,test,,8,95,0.8879485756566777,0.8399766065502792,0.8065112837587866,0.7378640776699029,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+speech,stacked_logistic_validation,,,test,,9,95,0.8875323714391417,0.8384649083260106,0.815251572327044,0.7391304347826086,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,breath+speech,stacked_logistic_validation,,,test,,10,95,0.8835343249964807,0.8259931029851695,0.8038337009056356,0.726457399103139,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,breath+speech,validation_weighted_auprc,,,test,,11,95,0.882126601285721,0.8227755797363119,0.7973581718361409,0.7148936170212766,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,breath+speech,uniform_mean,,,test,,12,95,0.8807658016986534,0.8188893095307334,0.7807704941110225,0.6942148760330579,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath,validation_weighted_auprc,,,test,,13,95,0.8758856928346863,0.8355380724039878,0.7924546009103279,0.72,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath,stacked_logistic_validation,,,test,,14,95,0.8757449204636103,0.8353179796203204,0.7986720472995167,0.7214611872146118,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,lightgbm_smote_f80,speech,,,,,,test,,15,95,0.8749537550869404,0.8082986428580385,0.7851461339252682,0.6984126984126984,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath,uniform_mean,,,test,,16,95,0.8744310450002347,0.8340769218528583,0.792665759466942,0.7192118226600985,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,top_5_validation_ensemble,speech,,,,,,test,,17,95,0.8729189789123197,0.804072783488108,0.7987421383647799,0.7172995780590717,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,lightgbm_smote_f80,cough,,,,,,test,,18,95,0.8718720087515384,0.8134984857048096,0.7656000729294863,0.6892655367231638,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,svc_rbf_f60,multimodal,,cough+breath+speech,,,,test,,19,95,0.8706301909811834,0.7697904002007916,0.7900849326638825,0.7164179104477612,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,,cough+breath+speech,,,,test,,20,95,0.8695509361362677,0.8127188037032136,0.8073060860588428,0.7389162561576355,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,svc_rbf_f60,speech,,,,,,test,,21,95,0.8682944876063632,0.7903305044221889,0.8048927118017017,0.730593607305936,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,xgboost_smote_f80,multimodal,,cough+breath+speech,,,,test,,22,95,0.8642954342827649,0.8167024389226203,0.787926422974051,0.7121951219512195,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,catboost_smote_f80,speech,,,,,,test,,23,95,0.8631613022567517,0.7921904327850786,0.7865797262301146,0.7033898305084746,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,top_5_validation_ensemble,cough,,,,,,test,,24,95,0.8620721090295822,0.7987847084175013,0.7682665572724372,0.6923076923076923,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,xgboost_smote_f80,speech,,,,,,test,,25,95,0.8615889752127267,0.7852510171676752,0.7938401775804662,0.711864406779661,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,svc_rbf_f60,multimodal,,cough+speech,,,,test,,26,95,0.8600166481687015,0.7613691495221888,0.8019792822789493,0.7298578199052133,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,svc_rbf_f60,cough,,,,,,test,,27,95,0.8588814440038289,0.7787404894227233,0.7769497242353799,0.6901960784313725,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,random_forest_smote_f80,speech,,,,,,test,,28,95,0.8587680355160934,0.7741266251669692,0.7871346651868294,0.7020408163265306,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,svc_rbf_f60,multimodal,,cough+breath,,,,test,,29,95,0.85875838768711,0.7460709766371074,0.7739195720519919,0.6915887850467289,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,random_forest_f80,speech,,,,,,test,,30,95,0.8583980762116168,0.7737071782119501,0.7954587495375509,0.7174887892376681,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,extra_trees_smote_f100,speech,,,,,,test,,31,95,0.8568257491675916,0.7603258399164576,0.7952737698853126,0.7181818181818181,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,random_forest_smote_f80,multimodal,,cough+breath+speech,,,,test,,32,95,0.8552390784102107,0.7715498168650874,0.7762423161747454,0.6882591093117408,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,svc_rbf_f60,multimodal,,breath+speech,,,,test,,33,95,0.8542536718126787,0.7379770559268831,0.7732860963821501,0.6926829268292682,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,optuna_validation_search,speech,,,,,,test,,34,95,0.8530799112097669,0.7643363899155196,0.7814927857935627,0.6982758620689655,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,extra_trees_f100,speech,,,,,,test,,35,95,0.8529874213836478,0.7527604559900145,0.7860247872733999,0.7048458149779736,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,random_forest_f80,multimodal,,breath+speech,,,,test,,36,95,0.8520951621228474,0.740269176852076,0.7758199990615176,0.6887966804979253,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,optuna_validation_search,multimodal,,cough+breath,,,,test,,37,95,0.8520951621228473,0.7423216202452105,0.7682886772089532,0.680672268907563,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,,cough+speech,,,,test,,38,95,0.8516000739918609,0.7767390451217457,0.7670181280059194,0.6764705882352942,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,,cough+breath,,,,test,,39,95,0.8511097555253155,0.783846230827425,0.787926422974051,0.7121951219512195,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,xgboost_smote_f80,multimodal,,cough+breath,,,,test,,40,95,0.8506170522265497,0.778652363285449,0.7722303035990803,0.6947368421052632,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,xgboost_smote_f80,multimodal,,cough+speech,,,,test,,41,95,0.8495190529041805,0.7753498912896611,0.7820477247502775,0.6970954356846473,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,catboost_smote_f80,multimodal,,cough+breath+speech,,,,test,,42,95,0.8494674111960958,0.7852119130739947,0.7900849326638825,0.7164179104477612,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,catboost_smote_f80,cough,,,,,,test,,43,95,0.8493550298555085,0.7770934350980494,0.7637312548429737,0.6844919786096256,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,random_forest_f80,multimodal,,cough+breath+speech,,,,test,,44,95,0.8492797147013279,0.7527680301865889,0.7753976819482896,0.6893617021276596,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,random_forest_f80,multimodal,,cough+breath,,,,test,,45,95,0.8484820045985642,0.7287541739517085,0.7620243066960725,0.6719367588932806,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,optuna_validation_search,multimodal,,cough+breath+speech,,,,test,,46,95,0.8482473839801041,0.7439574255874284,0.7599596452536249,0.6772486772486772,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,extra_trees_f100,multimodal,,cough+breath+speech,,,,test,,47,95,0.8477312186194923,0.7314490068485071,0.7872460231805172,0.7043478260869566,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,xgboost_smote_f80,cough,,,,,,test,,48,95,0.8461643648297552,0.770884141866226,0.746661196955194,0.6593406593406593,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,xgboost_smote_f80,multimodal,,breath+speech,,,,test,,49,95,0.8455492468678147,0.7616369390536574,0.7536483506170523,0.6638655462184874,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,,breath+speech,,,,test,,50,95,0.844305757589977,0.7676380254263807,0.7390080240251513,0.6470588235294118,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,random_forest_smote_f80,multimodal,,breath+speech,,,,test,,51,95,0.8435549716109052,0.7391131705496602,0.7609685139130027,0.6722689075630253,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,extra_trees_f100,multimodal,,cough+speech,,,,test,,52,95,0.8434147243803181,0.7324794457890927,0.7471790603033666,0.6577777777777778,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,random_forest_smote_f80,multimodal,,cough+breath,,,,test,,53,95,0.8418657031579935,0.7347601333557829,0.7398526582516072,0.648,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,top_5_validation_ensemble,breath,,,,,,test,,54,95,0.8415372342921495,0.764071320665498,0.764652057622824,0.6787330316742082,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,optuna_validation_search,multimodal,,cough+speech,,,,test,,55,95,0.8412874583795783,0.7335561220234385,0.766093229744728,0.6770428015564203,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,catboost_smote_f80,multimodal,,cough+breath,,,,test,,56,95,0.8411618413026136,0.7639979009311186,0.7726526207123082,0.6938775510204082,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,extra_trees_smote_f100,multimodal,,cough+breath+speech,,,,test,,57,95,0.8410679930552296,0.7325598508927543,0.7896156914269626,0.7074235807860262,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,extra_trees_smote_f100,multimodal,,cough+speech,,,,test,,58,95,0.8391139474657788,0.7443847201436345,0.7569829818719941,0.6696035242290749,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,extra_trees_smote_f100,breath,,,,,,test,,59,95,0.8385106283140162,0.7404035740592847,0.7810285767913284,0.7014218009478673,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,random_forest_f80,cough,,,,,,test,,60,95,0.8373216646155249,0.7539714325020228,0.7406217238707324,0.6506024096385542,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,catboost_smote_f80,breath,,,,,,test,,61,95,0.8367040495518745,0.7658553206239996,0.7618600722631506,0.6759259259259259,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,random_forest_smote_f80,breath,,,,,,test,,62,95,0.8363286565623387,0.730733458111032,0.7663882501994275,0.6824644549763034,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,extra_trees_smote_f100,multimodal,,breath+speech,,,,test,,63,95,0.8357890291398808,0.7148467974729937,0.7723945380320023,0.6872246696035242,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,random_forest_smote_f80,multimodal,,cough+speech,,,,test,,64,95,0.835183129855716,0.7398169293400013,0.7350166481687015,0.6428571428571429,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,extra_trees_f100,multimodal,,breath+speech,,,,test,,65,95,0.8351086293463469,0.7141775317098217,0.7891933743137347,0.7085201793721974,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,lightgbm_smote_f80,breath,,,,,,test,,66,95,0.834920932851579,0.7633040518760185,0.7642297405095959,0.6790697674418604,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,catboost_smote_f80,multimodal,,cough+speech,,,,test,,67,95,0.8345819459859415,0.7560652406339933,0.7488438771735109,0.6587301587301587,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,logistic_l2_f80,speech,,,,,,test,,68,95,0.8341657417684055,0.7059738105082634,0.7586477987421384,0.6692913385826772,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,extra_trees_f100,breath,,,,,,test,,69,95,0.8333724367697434,0.7229993970114676,0.7668105673126555,0.6820276497695853,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,catboost_smote_f80,multimodal,,breath+speech,,,,test,,70,95,0.8331847402749755,0.7434753751720946,0.764652057622824,0.6787330316742082,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,logistic_smote_f80,speech,,,,,,test,,71,95,0.8323621901590825,0.7044128728739832,0.7528209396966334,0.6638655462184874,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,random_forest_f80,breath,,,,,,test,,72,95,0.830744685842992,0.7131876303505218,0.7633851062831403,0.6798029556650246,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,extra_trees_smote_f100,multimodal,,cough+breath,,,,test,,73,95,0.829735817183614,0.7077015589924457,0.7491201726807752,0.6584362139917695,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,extra_trees_f100,multimodal,,cough+breath,,,,test,,74,95,0.8294777345033082,0.6976137023768423,0.7486978555675473,0.6582278481012658,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,xgboost_smote_f80,breath,,,,,,test,,75,95,0.8289381070808504,0.7431948065002367,0.7614377551499225,0.6761904761904762,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,random_forest_f80,multimodal,,cough+speech,,,,test,,76,95,0.8276914539400667,0.730182756803301,0.7518960414354421,0.6636771300448431,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,random_forest_smote_f80,cough,,,,,,test,,77,95,0.826336660741146,0.7474206119745415,0.7377957062764939,0.6473029045643154,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,svc_rbf_f60,breath,,,,,,test,,78,95,0.8262399699685609,0.7005928082163924,0.7437004363943504,0.6518518518518519,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,optuna_validation_search,cough,,,,,,test,,79,95,0.823601805004786,0.7206470406993857,0.7396189434340672,0.6486486486486487,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,optuna_validation_search,breath,,,,,,test,,80,95,0.8227675848153534,0.6900268746035847,0.7366383557787058,0.6443514644351465,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,extra_trees_f100,cough,,,,,,test,,81,95,0.8222799580655453,0.7370763807643799,0.7537490314052601,0.6666666666666666,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,extra_trees_smote_f100,cough,,,,,,test,,82,95,0.8211632253065317,0.7513946751210691,0.735607821687406,0.6448979591836734,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_l2_f80,multimodal,,cough+breath+speech,,,,test,,83,95,0.7995401435878184,0.666238115432515,0.7069823096053681,0.6030150753768844,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,logistic_l2_f80,cough,,,,,,test,,84,95,0.7994894935958794,0.691681125782679,0.703131409818132,0.5909090909090909,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_smote_f80,multimodal,,cough+breath+speech,,,,test,,85,95,0.7982731922481348,0.6682931168421052,0.716836375580686,0.6212765957446809,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_smote_f80,multimodal,,cough+speech,,,,test,,86,95,0.7969848316685164,0.6677756091839148,0.6896966333703293,0.5985401459854015,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,logistic_smote_f80,cough,,,,,,test,,87,95,0.7967546378595196,0.6901959023642109,0.688887369524591,0.5698324022346368,316.0,316.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_l2_f80,multimodal,,cough+speech,,,,test,,88,95,0.794903810580836,0.665074473649707,0.6985756566777654,0.6053639846743295,314.0,314.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,logistic_l2_f80,breath,,,,,,test,,89,95,0.7819435972033222,0.6383972320464719,0.7470085871146357,0.6572769953051644,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_l2_f80,multimodal,,cough+breath,,,,test,,90,95,0.7681009807141852,0.6209761956316366,0.7019848904321712,0.603448275862069,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_smote_f80,multimodal,,cough+breath,,,,test,,91,95,0.7669748017455774,0.6237354452782877,0.6994040636291117,0.6,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_audio_modality,logistic_smote_f80,breath,,,,,,test,,92,95,0.7637839613345221,0.6274328167201121,0.7108300877481113,0.6118721461187214,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_l2_f80,multimodal,,breath+speech,,,,test,,93,95,0.7579184458730234,0.6073892920519599,0.6757543052883488,0.5631067961165048,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,logistic_smote_f80,multimodal,,breath+speech,,,,test,,94,95,0.7566045704096476,0.6025674021212946,0.6753319881751209,0.56,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,optuna_validation_search,multimodal,,breath+speech,,,,test,,95,95,0.7476420627844775,0.5786322045462214,0.6778658908544883,0.576271186440678,312.0,312.0,strong_baseline_metrics
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,test,,1,70,0.8971050684424714,0.8627298641826996,0.824685534591195,0.7522123893805309,314.0,314.0,compare_is10_final_validation_metrics
