analysis_family,model_name,modality,modality_combination,fusion_method,audit_model,existing_auroc,temporal_auroc,delta_auroc_temporal_minus_existing,time_stratified_auroc,delta_auroc_time_stratified_minus_existing,existing_auprc,temporal_auprc,delta_auprc_temporal_minus_existing,time_stratified_auprc,delta_auprc_time_stratified_minus_existing,existing_balanced_accuracy,temporal_balanced_accuracy,delta_balanced_accuracy_temporal_minus_existing,time_stratified_balanced_accuracy,delta_balanced_accuracy_time_stratified_minus_existing,existing_brier,temporal_brier,delta_brier_temporal_minus_existing,time_stratified_brier,delta_brier_time_stratified_minus_existing,existing_ece,temporal_ece,delta_ece_temporal_minus_existing,time_stratified_ece,delta_ece_time_stratified_minus_existing,existing_auprc_lift_over_prevalence,temporal_auprc_lift_over_prevalence,delta_auprc_lift_over_prevalence_temporal_minus_existing,time_stratified_auprc_lift_over_prevalence,delta_auprc_lift_over_prevalence_time_stratified_minus_existing,existing_n_samples,temporal_n_samples,time_stratified_n_samples,delta_auprc_lift_temporal_minus_existing,delta_auprc_lift_time_stratified_minus_existing,existing_auprc_lift,temporal_auprc_lift,time_stratified_auprc_lift
audio_modality,logistic_regression,cough,,,,0.7861819823888012,0.5206515210401724,-0.2655304613486288,0.7154618637176777,-0.07072011867112349,0.6492075369201777,0.810384565053845,0.1611770281336673,0.5486399435407319,-0.10056759337944587,0.6897719575524949,0.5054499523018761,-0.18432200525061881,0.6620356387798247,-0.027736318772670132,0.19620911232085356,0.43254523046491955,0.236336118144066,0.2176627848370563,0.021453672516202754,0.15716027449806397,0.44655507092634844,0.2893947964282845,0.14125352764523272,-0.01590674685283125,0.32530816585099537,0.006139282034977156,-0.3191688838160182,0.2265678714686598,-0.09874029438233556,636.0,848.0,888.0,-0.3191688838160182,-0.09874029438233556,0.32530816585099537,0.006139282034977156,0.2265678714686598
audio_modality,logistic_regression,breath,,,,0.7479453601264395,0.5460861039465781,-0.20185925617986145,0.7055764003438423,-0.04236895978259725,0.540352744816195,0.8305284688135517,0.2901757239973567,0.5340811406537297,-0.006271604162465305,0.673379995484308,0.5353231106243155,-0.13805688485999257,0.6560358246404758,-0.01734417084383222,0.2088596911789994,0.42459297044323363,0.21573327926423422,0.22664409808618277,0.01778440690718336,0.13919174296859446,0.4344562570977566,0.2952645141291621,0.15162977525448132,0.012438032285886857,0.21645337374701262,0.026283185794683805,-0.19017018795232882,0.21200906858165763,-0.004444305165354989,636.0,848.0,888.0,-0.19017018795232882,-0.004444305165354989,0.21645337374701262,0.026283185794683805,0.21200906858165763
audio_modality,logistic_regression,speech,,,,0.7391510498983969,0.5399802141115783,-0.1991708357868186,0.6856269312083265,-0.053524118690070344,0.6020233326251713,0.8192250974367388,0.2172017648115675,0.5010952727867743,-0.10092805983839692,0.6693474825016934,0.5208352471469455,-0.1485122353547479,0.6299886160351277,-0.03935886646656572,0.21083621694781743,0.3668039531899187,0.15596773624210128,0.22425863192216552,0.013422414974348096,0.15618757798042526,0.39372922305145436,0.2375416450710291,0.14340105693825153,-0.012786521042173732,0.2781239615559889,0.014979814417870885,-0.263144147138118,0.1790232007147023,-0.0991007608412866,1590.0,2120.0,2220.0,-0.263144147138118,-0.0991007608412866,0.2781239615559889,0.014979814417870885,0.1790232007147023
multimodal_fusion,logistic_regression,multimodal,breath+cough,uniform_mean,,0.8595619778731091,0.5479807794226761,-0.311581198450433,0.7739934484120531,-0.08556852946105598,0.7570771021559519,0.8231406585107892,0.0660635563548373,0.6298760591005497,-0.12720104305540225,0.7805599458116956,0.5364802317775501,-0.24407971403414552,0.7157145180400994,-0.06484542777159619,0.16905735495597016,0.35072537873663095,0.1816680237806608,0.18515399343828237,0.016096638482312214,0.15518752744453587,0.40441333355888864,0.24922580611435277,0.1165045614552225,-0.03868296598931337,0.43317773108676955,0.01889537549192133,-0.4142823555948482,0.3078039870284776,-0.12537374405829194,318.0,424.0,444.0,-0.4142823555948482,-0.12537374405829194,0.43317773108676955,0.01889537549192133,0.3078039870284776
multimodal_fusion,logistic_regression,multimodal,breath+cough,validation_weighted_auprc,,0.823978324678257,0.5420096809525492,-0.28196864372570785,0.74980833120368,-0.07416999347457709,0.7009360058319513,0.8214914228954681,0.1205554170635168,0.6058315985957593,-0.09510440723619196,0.7016030706705803,0.5258983146662898,-0.17570475600429047,0.682852031689241,-0.01875103898133923,0.17834787570762828,0.35190860697793236,0.17356073127030408,0.19486408796957636,0.016516212261948077,0.15184711463669454,0.405866929034928,0.25401981439823346,0.11618977394821202,-0.03565734068848252,0.3770366347627689,0.017246139876600175,-0.3597904948861687,0.28375952652368724,-0.09327710823908164,318.0,424.0,444.0,-0.3597904948861687,-0.09327710823908164,0.3770366347627689,0.017246139876600175,0.28375952652368724
multimodal_fusion,logistic_regression,multimodal,breath+speech,uniform_mean,,0.8465567848272747,0.5729604635551001,-0.2735963212721746,0.7715540273679808,-0.07500275745929386,0.7509202169415604,0.82025847469479,0.06933825775322955,0.6409550651454694,-0.10996515179609101,0.7398058252427184,0.5669540331413632,-0.17285179210135526,0.7005901075668517,-0.039215717675866735,0.1797314185480415,0.33134137903696703,0.15160996048892553,0.19035104751412976,0.010619628966088257,0.1893566191005103,0.402064123939034,0.21270750483852371,0.1396990563770477,-0.04965756272346261,0.42702084587237804,0.016013191675922078,-0.41100765419645596,0.31888299307339735,-0.1081378527989807,318.0,424.0,444.0,-0.41100765419645596,-0.1081378527989807,0.42702084587237804,0.016013191675922078,0.31888299307339735
multimodal_fusion,logistic_regression,multimodal,breath+speech,validation_weighted_auprc,,0.8142695868141793,0.5713705260926404,-0.24289906072153888,0.7603559231466208,-0.053913663667558454,0.7254560093576501,0.8199411397014043,0.09448513034375416,0.6119053107670649,-0.1135506985905852,0.7384962745540754,0.5656467512277851,-0.17284952332629033,0.6915874822851567,-0.04690879226891875,0.1901415565762969,0.33252660849881693,0.14238505192252005,0.19330352796169295,0.003161971385396062,0.17903289197417382,0.3990425675898836,0.22000967561570978,0.12142013424009108,-0.05761275773408274,0.4015566382884677,0.01569585668253637,-0.38586078160593135,0.28983323869499283,-0.11172339959347488,318.0,424.0,444.0,-0.38586078160593135,-0.11172339959347488,0.4015566382884677,0.01569585668253637,0.28983323869499283
multimodal_fusion,logistic_regression,multimodal,cough+speech,uniform_mean,,0.855723639647776,0.5501536939547045,-0.3055699456930715,0.7754454847478104,-0.08027815489996559,0.7958994059893671,0.8161840143027232,0.0202846083133561,0.6655861288378978,-0.13031327715146934,0.7223300970873786,0.5296258347171678,-0.19270426237021077,0.698847663963943,-0.023482433123435564,0.17437201741087263,0.3327623546377883,0.15839033722691567,0.18721213381881274,0.012840116407940111,0.19646163677448647,0.39447815675270165,0.19801651997821518,0.13275062695663306,-0.06371100981785341,0.4720000349201848,0.011938731283855364,-0.4600613036363294,0.34351405676582575,-0.12848597815435903,318.0,424.0,444.0,-0.4600613036363294,-0.12848597815435903,0.4720000349201848,0.011938731283855364,0.34351405676582575
multimodal_fusion,logistic_regression,multimodal,cough+speech,validation_weighted_auprc,,0.8492210431248588,0.541638695544642,-0.30758234758021685,0.7440582673140813,-0.10516277581077749,0.7923071288661591,0.8150152394582952,0.022708110592136177,0.5951763434636993,-0.19713078540245976,0.7484082185594942,0.5346606366816239,-0.21374758187787035,0.6865227795460354,-0.06188543901345889,0.18018740938299507,0.33867348857451574,0.15848607919152066,0.19795619721573657,0.017768787832741495,0.1939784650853662,0.3924464091190103,0.1984679440336441,0.11452479415974517,-0.07945367092562103,0.4684077577969767,0.010769956439427353,-0.45763780135754933,0.27310427139162724,-0.19530348640534945,318.0,424.0,444.0,-0.45763780135754933,-0.19530348640534945,0.4684077577969767,0.010769956439427353,0.27310427139162724
multimodal_fusion,logistic_regression,multimodal,breath+cough+speech,uniform_mean,,0.8734251524046059,0.5657527470586157,-0.3076724053459903,0.7872127872127873,-0.08621236519181863,0.8069059283922152,0.8221695691801452,0.015263640787929966,0.6701766921906871,-0.1367292362015281,0.791284714382479,0.5563367840864926,-0.23494793029598648,0.7209534651395116,-0.07033124924296741,0.17049273546635074,0.3301394247303527,0.15964668926400194,0.18286590764332167,0.012373172176970926,0.19506919427658526,0.395826312426504,0.20075711814991876,0.1289288363417228,-0.06614035793486245,0.4830065573230328,0.01792428616127728,-0.46508227116175554,0.34810462011861504,-0.1349019372044178,318.0,424.0,444.0,-0.46508227116175554,-0.1349019372044178,0.4830065573230328,0.01792428616127728,0.34810462011861504
multimodal_fusion,logistic_regression,multimodal,breath+cough+speech,validation_weighted_auprc,,0.8492210431248588,0.5587570222237925,-0.29046402090106627,0.7521780545036358,-0.09704298862122296,0.7923071288661591,0.8217166156341515,0.029409486767992488,0.6110447739734901,-0.18126235489266895,0.7484082185594942,0.5623608804720348,-0.18604733808745944,0.6830262760495318,-0.06538194250996243,0.18018740938299507,0.33280059083064467,0.1526131814476496,0.1934917805587046,0.01330437117570954,0.1939784650853662,0.39654425249902553,0.20256578741365933,0.1159342023697315,-0.07804426271563471,0.4684077577969767,0.017471332615283663,-0.450936425181693,0.28897270190141805,-0.17943505589555864,318.0,424.0,444.0,-0.450936425181693,-0.17943505589555864,0.4684077577969767,0.017471332615283663,0.28897270190141805
metadata_confounding,metadata_confounding_logistic_regression,metadata,,,symptoms_only,0.93172273650937,0.8240115888775041,-0.10771114763186584,0.9093929326487467,-0.022329803860623332,0.8977476322248188,0.9394042766942458,0.04165664446942696,0.8530528394042853,-0.04469479282053346,0.9117182208173402,0.7907465639684839,-0.12097165684885636,0.8870548056594567,-0.024663415157883506,0.07498499285709238,0.14032009035388307,0.06533509749679069,0.08890317380282677,0.013918180945734382,0.09609998761088621,0.10680014581244748,0.010700158201561269,0.07624203872769753,-0.01985794888318869,0.5738482611556364,0.13515899367537787,-0.4386892674802585,0.5309807673322133,-0.04286749382342303,2862.0,3816.0,3996.0,-0.4386892674802585,-0.04286749382342303,0.5738482611556364,0.13515899367537787,0.5309807673322133
metadata_confounding,metadata_confounding_logistic_regression,metadata,,,demographic_protocol_only,0.9137823380692351,0.32628003051633053,-0.5875023075529047,0.9167091880270174,0.0029268499577822515,0.7370032811410646,0.7130388164067002,-0.02396446473436442,0.7376228638960333,0.0006195827549686506,0.8271292742279421,0.38108838089405517,-0.44604089333388697,0.8518574448807007,0.024728170652758563,0.12219546380847697,0.6667243186664905,0.5445288548580135,0.1134425123380141,-0.008752951470462872,0.11682221029285836,0.6526054289506347,0.5357832186577763,0.09513097935976515,-0.021691230933093206,0.41310391007188224,-0.09120646661216769,-0.50431037668405,0.4155507918239612,0.0024468817520789665,2862.0,3816.0,3996.0,-0.50431037668405,0.0024468817520789665,0.41310391007188224,-0.09120646661216769,0.4155507918239612
metadata_confounding,metadata_confounding_logistic_regression,metadata,,,full_safe_metadata,0.9638209444486256,0.5313560094619817,-0.43246493498664396,0.9627472728247922,-0.0010736716238334276,0.9276594487348628,0.8366592051181282,-0.09100024361673464,0.9156212343750383,-0.01203821435982455,0.8897845011414667,0.49206209000223766,-0.397722411139229,0.8928487533138696,0.003064252172402915,0.07663066010035487,0.5424435044174082,0.46581284431705333,0.07856246253055266,0.0019318024301977904,0.06407680552539795,0.5461243021119229,0.4820474965865249,0.06890904301465851,0.004832237489260566,0.6037600776656804,0.032413922099260306,-0.5713461555664201,0.5935491623029663,-0.010210915362714124,2862.0,3816.0,3996.0,-0.5713461555664201,-0.010210915362714124,0.6037600776656804,0.032413922099260306,0.5935491623029663
